16:14:29 | 404 |            0s | 127.0.0.1 | GET | /book | -
16:14:33 | 404 |            0s | 127.0.0.1 | GET | /book | -
16:15:58 | 404 |       575.5µs | 127.0.0.1 | GET | /book | -
16:16:07 | 404 |            0s | 127.0.0.1 | GET | /book | -
16:17:08 | 404 |            0s | 127.0.0.1 | GET | /book | -
16:18:44 | 404 |       555.1µs | 127.0.0.1 | GET | / | Cannot GET /
16:18:44 | 404 |            0s | 127.0.0.1 | GET | /favicon.ico | Cannot GET /favicon.ico
16:18:52 | 404 |            0s | 127.0.0.1 | GET | /healthcheck | Cannot GET /healthcheck
16:19:00 | 404 |            0s | 127.0.0.1 | GET | /live | Cannot GET /live
16:19:17 | 404 |            0s | 127.0.0.1 | GET | / | Cannot GET /
16:19:19 | 404 |            0s | 127.0.0.1 | GET | / | Cannot GET /
16:19:20 | 404 |            0s | 127.0.0.1 | GET | / | Cannot GET /
16:19:46 | 200 |            0s | 127.0.0.1 | GET | /live | -
16:19:48 | 200 |            0s | 127.0.0.1 | GET | /live | -
16:19:49 | 200 |       436.1µs | 127.0.0.1 | GET | /live | -
16:20:10 | 200 |            0s | 127.0.0.1 | GET | /live | -
16:20:10 | 200 |            0s | 127.0.0.1 | GET | /live | -
16:20:26 | 404 |            0s | 127.0.0.1 | GET | /live | Cannot GET /live
16:20:28 | 200 |            0s | 127.0.0.1 | GET | /healthcheck | -
16:20:29 | 200 |            0s | 127.0.0.1 | GET | /healthcheck | -
16:22:38 | 200 |            0s | 127.0.0.1 | GET | /healthcheck | -
16:23:00 | 200 |       704.6µs | 127.0.0.1 | GET | /healthcheck | -
16:23:01 | 200 |            0s | 127.0.0.1 | GET | /healthcheck | -
16:23:02 | 200 |       413.4µs | 127.0.0.1 | GET | /healthcheck | -
16:23:03 | 200 |            0s | 127.0.0.1 | GET | /healthcheck | -
16:23:06 | 200 |            0s | 127.0.0.1 | GET | /healthcheck | -
16:23:07 | 200 |            0s | 127.0.0.1 | GET | /healthcheck | -
16:23:08 | 200 |            0s | 127.0.0.1 | GET | /healthcheck | -
16:23:09 | 200 |            0s | 127.0.0.1 | GET | /healthcheck | -
16:23:10 | 200 |            0s | 127.0.0.1 | GET | /healthcheck | -
16:23:20 | 200 |            0s | 127.0.0.1 | GET | /healthcheck | -
16:23:21 | 200 |            0s | 127.0.0.1 | GET | /healthcheck | -
16:23:22 | 200 |       318.4µs | 127.0.0.1 | GET | /healthcheck | -
16:23:23 | 200 |            0s | 127.0.0.1 | GET | /healthcheck | -
16:24:38 | 200 |            0s | 127.0.0.1 | GET | /healthcheck | -
11:04:21 | 401 |       998.2µs | 127.0.0.1 | GET | /book | -
